A,red,blue,black
126,57462300.0,305134.0,362320.0
128,51901000.0,913680.0,1039180.0
130,28198100.0,1363750.0,1523120.0
132,2253470.0,55161.2,66299.1
134,429084.0,32936.8,52894.9
136,3994620.0,113646.0,190073.0
138,4560040.0,25266.3,41584.3
140,1015230.0,14286.8,22301.6
142,948949.0,3744.17,5716.86
144,664969.0,2076.2,2970.85
146,100546.0,91.4048,124.735
